"Colony.no.","Raw_file_name","Date_footage","Timepoint","Your_initials","Video_time_stamp","Event","Activity","Pollen_foraging","Standardized_time","...11","WGT","treatment","Obs_Duration","Pollen_foraging_binary","weight","enter_exit_binary","DateTime","RECORD","BattV_Avg","PTemp_C_Avg (Deg C) [Avg]","Air_Temp_Avg","RH (%) [Smp]","SlrW_Avg (W/m^2) [Avg]","SlrMJ_Tot (MJ/m^2) [Tot]","Grass_Temp_Avg (Deg C) [Avg]","Soil_Temp_2in_Avg (Deg C) [Avg]","Soil_Temp_4in_Avg (Deg C) [Avg]","WindDir (Degrees) [Smp]","WS_kph_ (kilometers/hour) [Avg]","Rain_mm_Tot (mm) [Tot]","...15","week"
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:30:12,"entrance_none",1,"no",234,NA,1,"Control",3600,0,1,1,2024-05-29 11:30:12,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:30:21,"entrance_pollen",1,"yes",243,NA,1,"Control",3600,1,1,1,2024-05-29 11:30:21,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:16,"entrance_pollen",1,"yes",298,NA,1,"Control",3600,1,1,1,2024-05-29 11:31:16,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:29,"exit",0,"NA",311,NA,1,"Control",3600,NA,1,0,2024-05-29 11:31:29,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:30,"entrance_pollen",1,"yes",312,NA,1,"Control",3600,1,1,1,2024-05-29 11:31:30,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:31,"exit",0,"NA",313,NA,1,"Control",3600,NA,1,0,2024-05-29 11:31:31,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:31,"entrance_pollen",1,"yes",313,NA,1,"Control",3600,1,1,1,2024-05-29 11:31:31,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:33,"entrance_none",1,"no",315,NA,1,"Control",3600,0,1,1,2024-05-29 11:31:33,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:35,"entrance_pollen",1,"yes",317,NA,1,"Control",3600,1,1,1,2024-05-29 11:31:35,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:44,"exit",0,"NA",326,NA,1,"Control",3600,NA,1,0,2024-05-29 11:31:44,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:31:53,"exit",0,"NA",335,NA,1,"Control",3600,NA,1,0,2024-05-29 11:31:53,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:32:02,"exit",0,"NA",344,NA,1,"Control",3600,NA,1,0,2024-05-29 11:32:02,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
