"Colony.no.","Raw_file_name","Date_footage","Timepoint","Your_initials","Video_time_stamp","Event","Activity","Pollen_foraging","Standardized_time","WGT","treatment","Obs_Duration","Pollen_foraging_binary","weight","enter_exit_binary","DateTime","RECORD","BattV_Avg","PTemp_C_Avg (Deg C) [Avg]","Air_Temp_Avg","RH (%) [Smp]","SlrW_Avg (W/m^2) [Avg]","SlrMJ_Tot (MJ/m^2) [Tot]","Grass_Temp_Avg (Deg C) [Avg]","Soil_Temp_2in_Avg (Deg C) [Avg]","Soil_Temp_4in_Avg (Deg C) [Avg]","WindDir (Degrees) [Smp]","WS_kph_ (kilometers/hour) [Avg]","Rain_mm_Tot (mm) [Tot]","...15","week"
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:11:29,"exit",0,"NA",0,1,"Control",3600,NA,1,0,2024-06-10 11:11:29,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:11:41,"exit",0,"NA",12,1,"Control",3600,NA,1,0,2024-06-10 11:11:41,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:12:53,"exit",0,"NA",84,1,"Control",3600,NA,1,0,2024-06-10 11:12:53,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:13:21,"exit",0,"NA",112,1,"Control",3600,NA,1,0,2024-06-10 11:13:21,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:13:34,"exit",0,"NA",125,1,"Control",3600,NA,1,0,2024-06-10 11:13:34,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:14:06,"exit",0,"NA",157,1,"Control",3600,NA,1,0,2024-06-10 11:14:06,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:14:10,"entrance_none",1,"no",161,1,"Control",3600,0,1,1,2024-06-10 11:14:10,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:14:46,"exit",0,"NA",197,1,"Control",3600,NA,1,0,2024-06-10 11:14:46,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:15:34,"exit",0,"NA",245,1,"Control",3600,NA,1,0,2024-06-10 11:15:34,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
1,"SUNP0001.AVI",2024-06-10,"timepoint_3","LHT",1899-12-31 11:16:23,"exit",0,"NA",294,1,"Control",3600,NA,1,0,2024-06-10 11:16:23,130194,13.69,13.91,11.11,71.28,336.6,1.212,15,14.73,14.14,15.56,11.85,0,NA,4
